id	title	duration_seconds
GxFvhcnWnyw	No Limit Holdem - 4 table micro stakes at Poker Stars 2/5	703.0
H-QNB8L_59U	1997 Pontiac Trans Sport Minivan Retro TV Commercial Ad	31.0
HFEeAYunvtg	Sony dock w/ lightning connector	113.0
HGTmLQnnwaE	1972 Fisher Price Little People Merry Go Round Demo	298.0
HI5uwINvqFc	1987 Campbells Soup Retro TV Commercial Ad	32.0
HK4KV8NsIG0	Onkyo DX-C390 6 Disc CD changer demo	136.0
HMlyDDYiyBk	Igloo ICE102 Ice Maker - Real Time Demo of Icemaker	665.0
HNIGAWB9du0	1987 Chevy S-10 Maxi-Cab Retro TV Commercial	31.0
HPLehaPq3HI	TRS-80 Model 100 Portable Computer Demo for EBAY	236.0
HeJeIZEfSa8	Andre Stringer, debut game at LSU, 4 DEEP 3's	53.0
Hhb-ZwCtte8	Radio Shack Off-Road Tiger Vintage RC Frame Buggy Demo	113.0
Hm8diSsAQoc	1987 Thunderbird Turbo Coupe Retro TV Commercial Ad	30.0
HtWM3VcQLrM	Philco antique shortwave radio demo - ebay auction	226.0
HyGDeX_62Ro	Microbot Teachmover robotic arm - programming and operating	833.0
I-1E3kzioqM	1988 Chevy Truck Retro TV Commercial Ad	31.0
I2ms9kRN9TU	How to set punch and dial time on Lathem Mechanical Time Clock	240.0
I7r1cDLv1zc	Tamiya ball caster (RB-Tam-11) assembly	131.0
I7z80mMIhso	Disney Parks Avatar Banshee Yellow Animated Shoulder Mount Dragon Puppet demo	119.0
IA-1T3gSo2k	Denham Springs Spring Fest 2012 - Molly's fairy photo shoot	125.0
IBdNqhY83H4	1988 "Be All You Can Be" U S Army Retro TV Commercial Ad	31.0
IBkrWhmNZUM	Sony DCR-PC105 MiniDV Handycam CamCorder Demo	289.0
INI9AAGFEAA	Scorbot ER III	148.0
IOy09J4mX-4	Huge LEGO Minifigure Lot Walkthrough - Vintage Mini Fig Collection	117.0
IZqIoQ4qleY	Joe's Adventures - Mafia 2 DLC - 30. Hit Contract HD	100.0
IbaqAAYXGPk	.05/.10 NLHE #4	786.0
Ie2_htOCxtk	2014 SDCC Exclusive Super7 Alien Egg Chamber Playset - Black Box Edition	85.0
Ihil2YmFf8A	1987 Lee Michaels Jewelry Store Baton Rouge Retro TV Commercial Ad	11.0
IiS7JnzrFG4	Conquest_Water_Slide.wmv	33.0
